Temperature, Pressure, Relative_Humidity, Air_Quality_PM1, Air_Quality_PM2.5, Air_Quality_PM10, Timestamp
89.509, 1002.334, 23.793, 1, 2, 3, 1
89.582, 1002.324, 23.641, 1, 2, 3, 2
89.674, 1002.404, 23.601, 1, 2, 3, 3
89.766, 1002.332, 23.654, 1, 2, 3, 4
89.876, 1002.316, 23.559, 1, 2, 3, 5
89.949, 1002.339, 23.532, 1, 2, 3, 6
90.041, 1002.332, 23.605, 1, 2, 3, 7
90.096, 1002.334, 23.565, 1, 2, 3, 9
90.151, 1002.329, 23.446, 1, 2, 3, 10
90.215, 1002.341, 23.244, 1, 2, 3, 11
90.279, 1002.368, 23.273, 1, 2, 3, 12
90.353, 1002.365, 23.191, 1, 2, 3, 13
90.426, 1002.336, 22.983, 1, 2, 3, 14
90.444, 1002.351, 23.114, 1, 2, 3, 15
90.472, 1002.375, 22.888, 1, 2, 3, 16
90.536, 1002.403, 22.955, 1, 2, 3, 18
90.591, 1002.382, 22.854, 1, 2, 3, 19
90.646, 1002.378, 22.652, 1, 2, 3, 20
90.738, 1002.36, 22.719, 1, 2, 3, 21
90.756, 1002.368, 22.618, 1, 2, 3, 22
90.793, 1002.422, 22.748, 1, 2, 3, 23
90.829, 1002.402, 22.698, 1, 2, 3, 24
90.912, 1002.368, 22.883, 1, 2, 3, 25
91.013, 1002.361, 22.581, 1, 2, 3, 27
91.059, 1002.385, 22.635, 1, 2, 3, 28
91.086, 1002.374, 22.522, 1, 2, 3, 29
91.178, 1002.357, 22.551, 1, 2, 3, 30
91.233, 1002.363, 22.486, 1, 2, 3, 31
91.297, 1002.348, 22.485, 1, 2, 3, 32
91.361, 1002.369, 22.583, 1, 2, 3, 33
91.398, 1002.388, 22.376, 1, 2, 3, 34
91.453, 1002.378, 22.137, 1, 2, 3, 36
91.444, 1002.388, 22.056, 1, 2, 3, 37
91.508, 1002.395, 22.004, 1, 2, 3, 38
91.609, 1002.389, 21.964, 1, 2, 3, 39
91.664, 1002.356, 22.112, 1, 2, 3, 40
91.774, 1002.396, 21.934, 1, 2, 3, 41
91.838, 1002.387, 21.864, 1, 2, 3, 42
91.902, 1002.376, 21.987, 1, 2, 3, 43
91.985, 1002.384, 21.965, 1, 2, 3, 45
92.076, 1002.381, 22.026, 1, 2, 3, 46
92.14, 1002.376, 22.125, 1, 2, 3, 47
92.214, 1002.391, 22.184, 1, 2, 3, 48
92.278, 1002.388, 21.808, 1, 2, 3, 49
92.333, 1002.382, 21.894, 1, 2, 3, 50
92.406, 1002.367, 21.904, 1, 2, 3, 51
92.461, 1002.332, 21.94, 1, 2, 3, 53
92.534, 1002.348, 21.763, 1, 2, 3, 54
92.571, 1002.361, 21.824, 1, 2, 3, 55
92.59, 1002.344, 21.974, 1, 2, 3, 56
92.645, 1002.368, 22.104, 1, 2, 3, 57
92.663, 1002.377, 22.323, 1, 2, 3, 58
92.654, 1002.37, 22.379, 1, 2, 3, 59
92.7, 1002.382, 22.034, 1, 2, 3, 60
92.736, 1002.358, 21.613, 1, 2, 3, 62
92.791, 1002.362, 21.674, 1, 2, 3, 63
92.855, 1002.41, 21.717, 1, 2, 3, 64
92.902, 1002.373, 21.922, 1, 2, 3, 65
92.984, 1002.377, 21.719, 1, 2, 3, 66
93.012, 1002.327, 21.706, 1, 2, 3, 67
93.057, 1002.363, 21.341, 1, 2, 3, 68
93.076, 1002.359, 21.133, 1, 2, 3, 69
93.14, 1002.331, 21.151, 1, 2, 3, 71
93.204, 1002.296, 21.117, 1, 2, 3, 72
93.268, 1002.349, 21.19, 1, 2, 3, 73
93.286, 1002.347, 20.858, 1, 2, 3, 74
93.231, 1002.329, 20.741, 1, 2, 3, 75
93.25, 1002.336, 20.596, 1, 2, 3, 76
93.176, 1002.337, 20.786, 1, 2, 3, 77
93.305, 1002.326, 20.512, 1, 2, 3, 78
93.323, 1002.318, 20.813, 1, 2, 3, 80
93.397, 1002.357, 20.591, 1, 2, 3, 81
93.442, 1002.345, 20.547, 1, 2, 3, 82
93.479, 1002.322, 20.515, 1, 2, 3, 83
93.525, 1002.317, 20.488, 1, 2, 3, 84
93.442, 1002.285, 20.371, 1, 2, 3, 85
93.507, 1002.305, 20.494, 1, 2, 3, 86
93.571, 1002.367, 20.448, 1, 2, 3, 87
93.635, 1002.328, 20.572, 1, 2, 3, 89
93.681, 1002.3, 20.482, 1, 2, 3, 90
93.718, 1002.312, 20.387, 1, 2, 3, 91
93.754, 1002.306, 20.399, 1, 2, 3, 92
93.772, 1002.306, 20.297, 1, 2, 3, 93
93.837, 1002.318, 20.447, 1, 2, 3, 94
93.846, 1002.291, 20.371, 1, 2, 3, 95
93.892, 1002.297, 20.476, 1, 2, 3, 96
93.956, 1002.321, 20.518, 1, 2, 3, 98
94.02, 1002.303, 20.416, 1, 2, 3, 99
94.047, 1002.316, 20.176, 1, 2, 3, 100
94.056, 1002.301, 20.315, 1, 2, 3, 101
94.148, 1002.32, 20.294, 1, 2, 3, 102
94.203, 1002.34, 20.379, 1, 2, 3, 103
94.258, 1002.334, 20.509, 1, 2, 3, 104
94.295, 1002.293, 20.22, 1, 2, 3, 106
94.359, 1002.333, 20.424, 1, 2, 3, 107
94.414, 1002.344, 20.24, 1, 2, 3, 108
94.497, 1002.328, 20.301, 1, 2, 3, 109
94.561, 1002.321, 20.256, 1, 2, 3, 110
94.625, 1002.356, 20.348, 1, 2, 3, 111
94.662, 1002.33, 20.12, 1, 2, 3, 112
94.717, 1002.359, 19.987, 1, 2, 3, 113
94.79, 1002.341, 20.047, 1, 2, 3, 115
94.863, 1002.34, 20.114, 1, 2, 3, 116
94.937, 1002.343, 19.994, 1, 2, 3, 117
94.955, 1002.353, 19.873, 1, 2, 3, 118
95.019, 1002.331, 19.909, 1, 2, 3, 119
95.065, 1002.362, 19.757, 1, 2, 3, 120
95.102, 1002.336, 19.756, 1, 2, 3, 121
95.102, 1002.344, 19.812, 1, 2, 3, 122
95.102, 1002.303, 19.622, 1, 2, 3, 124
95.175, 1002.327, 19.627, 1, 2, 3, 125
95.157, 1002.373, 19.496, 1, 2, 3, 126
95.175, 1002.341, 19.54, 1, 2, 3, 127
95.212, 1002.352, 19.676, 1, 2, 3, 128
95.303, 1002.363, 19.504, 1, 2, 3, 129
95.331, 1002.339, 19.567, 1, 2, 3, 130
95.34, 1002.384, 19.56, 1, 2, 3, 131
95.377, 1002.371, 19.458, 1, 2, 3, 133
95.395, 1002.361, 19.507, 1, 2, 3, 134
95.469, 1002.362, 19.385, 1, 2, 3, 135
95.551, 1002.357, 19.427, 1, 2, 3, 136
95.606, 1002.384, 19.3, 1, 2, 3, 137
95.615, 1002.368, 19.337, 1, 2, 3, 138
95.67, 1002.363, 19.499, 1, 2, 3, 139
95.688, 1002.368, 19.284, 1, 2, 3, 140
95.78, 1002.364, 19.187, 1, 2, 3, 142
95.826, 1002.389, 19.356, 1, 2, 3, 143
95.872, 1002.37, 19.392, 1, 2, 3, 144
95.908, 1002.36, 19.316, 1, 2, 3, 145
95.936, 1002.351, 19.459, 1, 2, 3, 146
96.009, 1002.351, 19.186, 1, 2, 3, 147
96.074, 1002.327, 19.271, 1, 2, 3, 148
96.165, 1002.393, 19.339, 1, 2, 3, 150
96.239, 1002.375, 19.331, 1, 2, 3, 151
96.294, 1002.347, 19.347, 1, 2, 3, 152
96.367, 1002.408, 19.301, 1, 2, 3, 153
96.431, 1002.34, 19.406, 1, 2, 3, 154
96.495, 1002.353, 19.392, 1, 2, 3, 155
96.569, 1002.352, 19.276, 1, 2, 3, 156
96.642, 1002.367, 19.305, 1, 2, 3, 157
