Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1637358912.8518736,0,0,4.0,30.8
1637358920.0720103,0,0,4.0,34.4
1637358926.7864563,0,0,4.0,29.2
1637358933.4422553,0,0,4.0,32.6
1637358939.9729695,0,0,4.0,29.4
1637358946.6250753,0,0,4.0,28.4
1637358953.417798,0,0,4.0,37.0
1637358960.576734,0,0,4.0,31.8
1637358967.373226,0,0,3.0,32.8
1637358974.2428386,0,0,3.0,28.6
1637358981.138692,0,0,3.0,31.6
1637358988.552103,0,0,3.0,32.6
1637358995.8631332,0,0,3.0,31.0
1637359002.986037,0,0,3.0,33.0
1637359010.2452178,0,0,3.0,33.2
1637359017.3411305,0,0,2.0,32.8
1637359024.8829927,0,0,2.0,34.0
1637359032.2018259,0,0,2.0,29.0
1637359039.3571584,0,0,2.0,31.8
1637359046.4780836,0,0,2.0,39.0
1637359053.7919717,0,0,2.0,31.0
1637359060.9480436,0,0,2.0,33.0
1637359068.388308,0,0,3.0,37.8
1637359075.6135254,0,0,6.0,32.4
1637359083.1043215,0,0,6.0,34.2
1637359090.4076025,0,0,6.0,34.4
1637359097.9620063,0,0,5.0,37.4
1637359105.499064,0,0,4.5,37.8
1637359113.1651065,0,0,4.0,32.4
1637359120.649502,0,0,4.0,29.8
1637359128.4387214,0,0,4.0,36.4
1637359135.972348,0,0,4.0,27.0
1637359143.769024,0,0,4.0,38.6
1637359151.4181457,0,0,4.0,37.2
1637359159.4895139,0,0,5.0,37.6
1637359167.1944063,0,0,5.0,32.0
1637359175.2034516,0,0,4.0,40.6
1637359183.1522217,0,0,5.0,36.4
1637359191.0726087,0,0,5.0,36.6
1637359199.069382,0,0,4.0,39.0
1637359207.0701826,0,0,2.0,34.0
1637359215.0758262,0,0,2.0,43.2
1637359223.2524104,0,0,2.0,34.4
1637359231.2780902,0,0,2.0,35.2
1637359239.5133824,0,0,2.0,37.0
1637359247.770372,0,0,3.0,34.4
1637359256.0659373,0,0,3.0,35.2
1637359264.3592024,0,0,3.0,38.0
1637359272.8183682,0,0,3.0,33.4
1637359281.2320926,0,0,3.5,27.4
1637359289.6182644,0,0,4.0,38.6
1637359298.1998074,0,0,3.0,31.4
1637359306.582598,0,0,3.0,29.8
1637359315.2300124,0,0,3.0,46.4
1637359323.724096,0,0,3.0,43.4
1637359332.2281084,0,0,3.0,38.8
1637359340.957873,0,0,3.0,45.2
1637359349.8221505,0,0,3.0,40.6
1637359359.2134666,0,0,3.0,38.8
1637359368.0447137,0,0,2.0,34.4
1637359376.8560123,0,0,2.0,29.6
1637359385.6882455,0,0,2.0,39.8
1637359394.6640134,0,0,2.0,37.0
1637359403.8860066,0,0,2.0,29.4
1637359412.770256,0,0,2.0,30.6
1637359421.7619393,0,0,2.0,35.2
1637359430.7954106,0,0,2.0,38.0
1637359439.9370036,0,0,2.0,28.2
1637359449.2606509,0,0,2.0,28.8
1637359459.0616612,0,0,2.0,27.6
1637359468.3265493,0,0,2.0,31.0
1637359477.3774152,0,0,2.0,31.4
1637359486.5738819,0,0,1.0,30.4
1637359495.7686608,0,0,1.0,33.8
1637359505.1725419,0,0,1.0,31.0
1637359514.4766297,0,0,1.0,34.6
1637359523.8236132,0,0,1.0,28.0
1637359533.1253643,0,0,1.0,32.0
1637359542.5848322,0,0,1.0,31.8
1637359552.1006916,0,0,1.0,26.0
1637359561.6027575,0,0,1.0,32.6
1637359571.1139345,0,0,1.0,27.2
1637359581.1054935,0,0,1.0,27.8
1637359590.7697468,0,0,1.0,36.6
1637359600.4811301,0,0,1.0,36.8
1637359610.262932,0,0,1.0,28.0
1637359619.9824033,0,0,1.0,37.6
1637359629.8517249,0,0,1.0,27.6
1637359639.6388817,0,0,1.0,29.2
1637359649.431437,0,0,1.0,27.6
1637359659.3635275,0,0,1.0,34.6
1637359669.2066524,0,0,2.0,40.6
1637359679.303844,0,0,2.0,30.2
1637359689.319375,0,0,2.0,30.0
1637359699.4199018,0,0,2.0,34.2
1637359709.5967512,0,0,2.0,35.4
1637359719.709829,0,0,2.0,32.8
1637359729.939267,0,0,2.0,29.4
1637359740.101509,0,0,2.0,31.8
1637359750.77906,0,0,2.0,31.6
1637359761.1037984,0,0,3.0,32.6
1637359771.3781314,0,0,2.0,31.0
1637359781.7726738,0,0,2.0,33.8
1637359792.1425004,0,0,2.0,31.2
1637359802.5813932,0,0,2.0,33.2
1637359813.0850334,0,0,2.0,35.2
1637359823.8102252,0,0,2.0,24.8
1637359834.3797727,0,0,2.0,27.0
1637359844.8223212,0,0,2.0,27.6
1637359855.4508078,0,0,2.0,25.8
1637359866.1176121,0,0,3.0,34.4
1637359876.7643225,0,0,3.0,34.8
1637359887.9277134,0,0,3.0,33.4
1637359899.0261495,0,0,3.0,31.6
1637359909.957425,0,0,3.0,30.2
1637359920.8580587,0,0,3.0,31.4
1637359931.6472898,0,0,3.0,31.2
1637359942.574002,0,0,3.0,32.0
1637359953.6251464,0,0,4.0,28.8
1637359964.6300468,0,0,4.0,29.8
1637359975.7135303,0,0,4.0,29.4
1637359986.791314,0,0,5.5,38.6
1637359998.007476,0,0,5.0,35.0
1637360009.331057,0,0,5.0,42.8
1637360021.1017466,0,0,5.0,33.4
1637360032.3672478,0,0,5.0,35.6
1637360043.7415776,0,0,4.0,31.6
1637360055.0373497,0,0,4.5,34.4
1637360066.4323485,0,0,4.0,30.0
1637360077.8431559,0,0,4.0,25.0
1637360089.430411,0,0,4.0,26.0
1637360100.8693902,0,0,4.0,33.2
1637360112.4663055,0,0,5.0,26.8
1637360124.1217964,0,0,5.0,31.4
1637360135.762889,0,0,5.0,30.6
1637360147.9595869,0,0,5.0,33.6
1637360159.8754847,0,0,4.0,29.2
1637360171.5312455,0,0,4.5,26.6
1637360183.4398007,0,0,4.0,24.4
1637360195.2128968,0,0,3.0,26.6
1637360207.0516093,0,0,4.0,25.8
1637360219.078272,0,0,4.0,25.4
1637360230.9091434,0,0,4.0,21.4
1637360242.7768152,0,0,4.0,27.4
1637360254.937937,0,0,4.0,28.0
1637360267.3883753,0,0,4.0,28.0
1637360279.6253183,0,0,5.0,33.8
1637360291.6986258,0,0,6.0,31.2
1637360304.0524545,0,0,7.0,31.2
1637360316.1850548,0,0,7.0,29.0
1637360328.4898005,0,0,6.0,25.8
1637360340.7569437,0,0,6.0,35.2
1637360352.9966347,0,0,6.0,34.0
